PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
0.0	5.364108	0.014715	8.189388000000001	0.0017453292519943296	0.006981317007977318	0.010471975511965976	-0.8687	-0.0626	-1.1891
1.0	5.380785	0.023544	8.173692	0.006981317007977318	0.006981317007977318	0.013962634015954637	-0.8617	-0.0598	-1.1313
2.0	5.372937	0.018639	8.194293	0.008726646259971648	0.006981317007977318	0.006981317007977318	-0.8654	-0.0576	-1.1199
3.0	5.369994	0.022563	8.189388000000001	-0.0	0.008726646259971648	0.013962634015954637	-0.8646	-0.0596	-1.1157
4.0	5.368032	0.016677	8.183502	-0.0017453292519943296	0.012217304763960306	0.022689280275926284	-0.8662	-0.0588	-1.1196
5.0	5.371956	0.019620000000000002	8.185464000000001	0.0017453292519943296	0.015707963267948967	0.024434609527920613	-0.8661	-0.0587	-1.1249
6.0	5.371956	0.021582000000000004	8.18154	0.005235987755982988	0.013962634015954637	0.015707963267948967	-0.8665	-0.059	-1.1316
7.000000000000001	5.3709750000000005	0.019620000000000002	8.18154	0.008726646259971648	0.012217304763960306	0.012217304763960306	-0.8668	-0.0596	-1.1395
8.0	5.3709750000000005	0.021582000000000004	8.175654000000002	-0.008726646259971648	0.012217304763960306	0.012217304763960306	-0.8671	-0.0594	-1.1467
9.0	5.3709750000000005	0.021582000000000004	8.173692	-0.006981317007977318	0.015707963267948967	0.019198621771937627	-0.8668	-0.0595	-1.153
10.0	5.369994	0.020601	8.175654000000002	0.017453292519943295	0.006981317007977318	0.010471975511965976	-0.8669	-0.0597	-1.1572
11.0	5.365089000000001	0.024525	8.175654000000002	-0.008726646259971648	0.017453292519943295	0.024434609527920613	-0.8674	-0.0597	-1.1635
12.0	5.365089000000001	0.028449	8.17173	0.003490658503988659	0.013962634015954637	0.024434609527920613	-0.8674	-0.0603	-1.1724
13.0	5.365089000000001	0.030411	8.170749	-0.008726646259971648	0.019198621771937627	0.024434609527920613	-0.8672	-0.0605	-1.1814
14.000000000000002	5.367051000000001	0.033354	8.169768	-0.008726646259971648	0.015707963267948967	0.020943951023931952	-0.8667	-0.0609	-1.1876
15.0	5.364108	0.030411	8.169768	-0.0	0.0	0.03316125578789226	-0.8668	-0.0608	-1.1907
16.0	5.362146	0.033354	8.168787	-0.005235987755982988	0.013962634015954637	0.024434609527920613	-0.866	-0.0607	-1.1901
17.0	5.361165	0.034335000000000004	8.170749	-0.0	0.015707963267948967	0.013962634015954637	-0.866	-0.0608	-1.1856
