PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
43054	9.839885	0.447764	1.575306	0.076294	-0.032806	0.041008	-0.769287	0.386963	-0.042236
43055	9.857538	0.49331	1.60334	0.081635	-0.034142	0.035095	-0.77002	0.393311	-0.020996
43056	9.864373	0.539653	1.519669	0.085258	-0.041962	0.03891	-0.769775	0.393311	-0.034424
43057	9.894163	0.584339	1.524129	0.072479	-0.03109	0.043488	-0.77002	0.393311	-0.026367
43058	9.906953	0.581284	1.423288	0.074005	-0.024033	0.037193	-0.769775	0.391113	-0.026123
43059	9.912272	0.614905	1.452185	0.088501	-0.003624	0.04425	-0.77002	0.393311	-0.029053
43060	9.83927	0.582004	1.506195	0.086021	-0.003433	0.03109	-0.767334	0.393311	-0.034668
43061	9.857264	0.53734	1.500817	0.09079	-0.008202	0.009155	-0.772217	0.393555	-0.026123
43062	9.869497	0.512829	1.567277	0.084686	0.004578	0.020409	-0.77002	0.395508	-0.023926
43063	9.930547	0.524469	1.592366	0.093079	-0.008202	0.023651	-0.767578	0.388916	-0.023682
43064	9.869826	0.560161	1.480173	0.089836	-0.026321	0.019836	-0.77002	0.397705	-0.037598
43065	9.875767	0.603711	1.359302	0.081635	-0.03109	0.022125	-0.765137	0.393311	-0.034912
43066	9.906814	0.633197	1.336899	0.072098	-0.040817	0.018311	-0.769775	0.38916	-0.026123
43067	9.942821	0.610517	1.341263	0.075531	-0.025749	0.006866	-0.77002	0.395508	-0.029297
43068	9.924934	0.610896	1.466231	0.073814	-0.028992	0.007629	-0.772461	0.397705	-0.031982
43069	9.906303	0.616579	1.42611	0.075531	-0.037956	0.008392	-0.772217	0.391357	-0.028809
43070	9.888429	0.585722	1.342833	0.07019	-0.031281	0.015831	-0.767822	0.397705	-0.021484
43071	9.906216	0.616246	1.402418	0.061798	-0.024223	0.01297	-0.771973	0.38916	-0.028564
43072	9.882229	0.657895	1.350644	0.058937	-0.02594	0.024414	-0.771973	0.391357	-0.039551
43073	9.808671	0.658138	1.383718	0.054932	-0.032616	0.028992	-0.765381	0.395508	-0.029785
43074	9.754364	0.668132	1.36757	0.048447	-0.039673	0.030518	-0.770264	0.397705	-0.026855
43075	9.753722	0.700546	1.445141	0.028229	-0.026512	0.032043	-0.772217	0.391357	-0.028809
43076	9.742184	0.67313	1.435602	0.021172	-0.03891	0.035858	-0.772217	0.391357	-0.023193
43077	9.802616	0.670144	1.43238	0.014496	-0.038719	0.027466	-0.77002	0.397705	-0.032227
43078	9.870519	0.673283	1.40341	0.003433	-0.050354	0.033569	-0.77002	0.391357	-0.020752
43079	9.912541	0.724985	1.346419	-0.018311	-0.050926	0.024414	-0.765381	0.397705	-0.024414
43080	9.901155	0.715713	1.335169	-0.03109	-0.055695	0.032806	-0.765137	0.393311	-0.034912
43081	9.876033	0.754562	1.309465	-0.036621	-0.059319	0.041199	-0.767578	0.393311	-0.026611
43082	9.840517	0.774773	1.364416	-0.043106	-0.069427	0.032616	-0.767578	0.393311	-0.031982
43083	9.857739	0.772604	1.272841	-0.062561	-0.061607	0.043488	-0.772217	0.393555	-0.028809
43084	9.88927	0.828865	1.236749	-0.075722	-0.061798	0.034332	-0.772461	0.397705	-0.029297
