PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
9390	4.742473	0.530597	8.923246	-0.005722	-0.004578	0.01049	-0.196533	-0.43335	-0.99707
9391	4.766481	0.536893	8.966271	-0.000763	0.008583	0.007629	-0.189453	-0.444092	-0.986084
9392	4.754196	0.53643	8.905252	-0.003433	-0.007057	0.002098	-0.185059	-0.435547	-0.992676
9393	4.754725	0.536771	8.978246	-0.002289	-0.001335	0.009918	-0.187256	-0.439941	-0.991943
9394	4.760543	0.529765	8.96005	-0.004578	0.007248	0.011444	-0.189697	-0.43335	-0.992432
9395	4.76067	0.530456	8.929515	-0.004578	0.00248	0.014496	-0.187256	-0.444092	-0.989014
9396	4.778787	0.553695	8.905201	-0.00782	0.002289	0.009727	-0.1875	-0.43335	-0.98999
9397	4.754576	0.524912	8.923373	0.003052	0.001717	0.005341	-0.187256	-0.439941	-0.997314
9398	4.730149	0.52456	8.892781	-0.004959	-0.002289	0.00515	-0.192139	-0.43335	-0.994873
9399	4.748441	0.530725	8.92951	-0.003052	0.00248	0.006104	-0.191895	-0.441895	-0.98877
9400	4.779009	0.542039	8.880668	-0.009537	-0.002861	0.007439	-0.184814	-0.439941	-0.997559
9401	4.730072	0.524838	8.941735	0.003815	0.004005	0.009918	-0.185059	-0.437744	-0.989746
9402	4.772851	0.536546	8.959928	-0.004768	-0.005913	0.006676	-0.182861	-0.435791	-0.995361
9403	4.760589	0.536942	8.960052	0.001526	0.004005	0.009918	-0.189697	-0.435547	-0.992188
9404	4.74835	0.518389	8.923332	0.008202	-0.003433	0.016594	-0.1875	-0.43335	-0.992432
9405	4.778906	0.531191	8.923407	0.010681	0.004005	0.012207	-0.19165	-0.444092	-0.988525
9406	4.778979	0.543762	8.911098	0.005913	-0.004768	0.0	-0.185303	-0.431396	-0.998291
9407	4.760546	0.542965	8.935667	-0.002289	0.004768	0.006104	-0.185059	-0.439941	-0.994873
9408	4.754388	0.530286	8.96004	0.004387	-0.004196	0.014496	-0.185059	-0.435547	-0.995117
9409	4.761047	0.518519	8.892676	0.002289	-0.005913	0.016022	-0.189697	-0.437744	-0.989258
9410	4.755138	0.517967	8.97184	0.003815	0.00267	0.01812	-0.185303	-0.433594	-0.992676
9411	4.766885	0.518533	8.941645	0.003815	0.000191	0.018311	-0.1875	-0.439941	-0.986816
9412	4.791498	0.549004	8.953619	0.008965	-0.004959	0.005913	-0.191895	-0.435547	-0.991943
9413	4.72458	0.524498	8.90481	-0.003815	-0.009727	0.009918	-0.191895	-0.439697	-0.994141
9414	4.822978	0.475072	8.934893	0.002861	-0.007057	0.011253	-0.189453	-0.435547	-1.000244
9415	4.706008	0.622846	8.886594	0.006866	-0.004387	0.000763	-0.185059	-0.442139	-0.989502
9416	4.816188	0.500766	8.910786	0.000381	-0.00248	0.008965	-0.187256	-0.437744	-0.994873
9417	4.742231	0.555392	8.966172	0.000191	0.004578	0.001526	-0.187256	-0.439941	-0.991943
9418	4.809314	0.481473	8.990584	-0.0103	-0.004578	0.006104	-0.191895	-0.435547	-0.997314
9419	4.700193	0.543086	8.910884	0.000763	-0.01049	0.006866	-0.187256	-0.442139	-0.994385
9420	4.761886	0.536222	8.983738	-0.002861	-0.003052	0.019836	-0.191895	-0.437744	-0.991699
9421	4.766659	0.512714	8.966162	0.006104	0.004768	0.010681	-0.189453	-0.439941	-0.994385
9422	4.76029	0.56728	8.892977	-0.006676	0.001717	0.002098	-0.185303	-0.435547	-0.987305
9423	4.803074	0.512577	8.911351	0.002289	0.009346	0.009155	-0.189697	-0.437744	-0.989258
9424	4.710857	0.573299	8.972663	0.00267	0.00515	0.011253	-0.185303	-0.429199	-0.998535
9425	4.742424	0.573407	8.978296	-0.000763	0.000954	0.012207	-0.187256	-0.442139	-0.994385
9426	4.785083	0.524137	8.91723	0.000572	-0.000191	0.00515	-0.189453	-0.435547	-1.002686
9427	4.75458	0.51884	8.923369	0.004578	0.001717	0.006866	-0.187256	-0.439941	-0.991943
9428	4.78502	0.506272	8.911122	-0.001144	-0.000572	0.011253	-0.191895	-0.435547	-1.0
9429	4.760733	0.518592	8.935564	0.002289	0.000954	0.01297	-0.185059	-0.441895	-0.986816
9430	4.766858	0.560954	8.94165	0.00515	0.000572	0.013542	-0.1875	-0.435547	-0.992432
9431	4.778959	0.506359	8.947817	-0.001526	0.00248	0.006866	-0.189697	-0.441895	-0.986328
